year,month_number,domain,total_turnover,total_profit,prev_month_turnover,prev_month_profit,mom_turnover_pct,mom_profit_pct,profit_anomaly_flag
2018,1,ca,2614195.359535575,46316.0,,,,,Normal
2018,1,com,120836859.01382412,1822066.0,,,,,Normal
2018,1,bet,69846643.16146055,1034850.0,,,,,Normal
2018,1,888,20267960.76925929,489641.0,,,,,Normal
2018,2,ca,3892643.1327102184,-46458.0,2614195.359535575,46316.0,48.9,-200.31,Normal
2018,2,com,126218620.97378196,2123876.0,120836859.01382412,1822066.0,4.45,16.56,Normal
2018,2,bet,75713157.47181582,1052560.0,69846643.16146055,1034850.0,8.4,1.71,Normal
2018,2,888,19054013.50838307,541478.0,20267960.76925929,489641.0,-5.99,10.59,Normal
2018,3,ca,4481439.179617301,-70284.0,3892643.1327102184,-46458.0,15.13,51.29,Normal
2018,3,com,130717627.91709118,1859857.0,126218620.97378196,2123876.0,3.56,-12.43,Normal
2018,3,bet,79912433.48674119,1737260.0,75713157.47181582,1052560.0,5.55,65.05,Normal
2018,3,888,21827543.544219643,623409.0,19054013.50838307,541478.0,14.56,15.13,Normal
2018,4,ca,3691036.5122504234,6225.0,4481439.179617301,-70284.0,-17.64,-108.86,Normal
2018,4,com,127836280.77281487,1547387.0,130717627.91709118,1859857.0,-2.2,-16.8,Normal
2018,4,bet,75093095.63225427,-1468333.0,79912433.48674119,1737260.0,-6.03,-184.52,Normal
2018,4,888,23270427.17385423,183524.0,21827543.544219643,623409.0,6.61,-70.56,Normal
2018,5,ca,4753963.594871759,264691.0,3691036.5122504234,6225.0,28.8,4152.06,Anomaly
2018,5,com,140312116.61631715,1759052.0,127836280.77281487,1547387.0,9.76,13.68,Normal
2018,5,bet,78182182.23951674,-206053.0,75093095.63225427,-1468333.0,4.11,-85.97,Normal
2018,5,888,22927390.64085781,1046322.0,23270427.17385423,183524.0,-1.47,470.13,Normal
2018,6,bet,93557105.8662358,3155301.0,78182182.23951674,-206053.0,19.67,-1631.31,Anomaly
2018,6,ca,5553086.120689452,127715.0,4753963.594871759,264691.0,16.81,-51.75,Normal
2018,6,com,143712618.64034194,5008936.0,140312116.61631715,1759052.0,2.42,184.75,Normal
2018,6,888,28846234.57731086,1758543.0,22927390.64085781,1046322.0,25.82,68.07,Normal
2018,7,ca,4324187.239536583,231634.0,5553086.120689452,127715.0,-22.13,81.37,Normal
2018,7,com,121545138.55928548,3784577.0,143712618.64034194,5008936.0,-15.42,-24.44,Normal
2018,7,bet,78044468.96668476,1347888.0,93557105.8662358,3155301.0,-16.58,-57.28,Normal
2018,7,888,21992394.289503187,753101.0,28846234.57731086,1758543.0,-23.76,-57.17,Normal
