year,month_number,region,total_turnover,total_profit,prev_month_turnover,prev_month_profit,mom_turnover_pct,mom_profit_pct,profit_anomaly_flag
2018,1,South Korea,8533675.476984024,218289.0,,,,,Normal
2018,1,Latin America,6259213.577857256,-28090.0,,,,,Normal
2018,1,China,42114342.504566744,732824.0,,,,,Normal
2018,1,Japan,6084015.877653658,98799.0,,,,,Normal
2018,1,Rest Of Europe,49354955.03946403,135575.0,,,,,Normal
2018,1,Italy,13057768.312739462,55652.0,,,,,Normal
2018,1,Nordic,19495480.767406344,431076.0,,,,,Normal
2018,1,Rest Of the World,18793363.854220152,297655.0,,,,,Normal
2018,1,Rest of Asia,4609350.798395693,54394.0,,,,,Normal
2018,1,Russia & CIS,36055393.62291765,1266921.0,,,,,Normal
2018,1,Canada,9208098.47187452,129778.0,,,,,Normal
2018,2,South Korea,7678379.572478056,99290.0,8533675.476984024,218289.0,-10.02,-54.51,Normal
2018,2,Latin America,8870831.565665022,-43237.0,6259213.577857256,-28090.0,41.72,53.92,Normal
2018,2,China,40336673.490353644,1018891.0,42114342.504566744,732824.0,-4.22,39.04,Normal
2018,2,Japan,5806492.996810436,235994.0,6084015.877653658,98799.0,-4.56,138.86,Normal
2018,2,Rest Of Europe,59051384.2331295,1264594.0,49354955.03946403,135575.0,19.65,832.76,Anomaly
2018,2,Italy,17535637.546517074,-142110.0,13057768.312739462,55652.0,34.29,-355.35,Normal
2018,2,Nordic,18601380.192308426,-284917.0,19495480.767406344,431076.0,-4.59,-166.09,Normal
2018,2,Rest Of the World,14643199.379481874,-61106.0,18793363.854220152,297655.0,-22.08,-120.53,Normal
2018,2,Rest of Asia,5796267.618067086,164678.0,4609350.798395693,54394.0,25.75,202.75,Normal
2018,2,Russia & CIS,36715035.61685014,1315350.0,36055393.62291765,1266921.0,1.83,3.82,Normal
2018,2,Canada,9843152.875029802,104029.0,9208098.47187452,129778.0,6.9,-19.84,Normal
2018,3,South Korea,5822828.747459814,139800.0,7678379.572478056,99290.0,-24.17,40.8,Normal
2018,3,Latin America,8196067.197377294,-173487.0,8870831.565665022,-43237.0,-7.61,301.25,Normal
2018,3,China,54056476.909502186,1291836.0,40336673.490353644,1018891.0,34.01,26.79,Normal
2018,3,Japan,5270703.619751096,168645.0,5806492.996810436,235994.0,-9.23,-28.54,Normal
2018,3,Rest Of Europe,62628023.28607607,1062054.0,59051384.2331295,1264594.0,6.06,-16.02,Normal
2018,3,Italy,18168393.70201969,347907.0,17535637.546517074,-142110.0,3.61,-344.82,Normal
