year,region,total_turnover,total_profit,prev_year_turnover,prev_year_profit,yoy_turnover_pct,yoy_profit_pct,profit_anomaly_flag
2018,Canada,136932389.48298538,4095387.0,,,,,Normal
2018,Rest of Asia,72505031.17278974,1348666.0,,,,,Normal
2018,Russia & CIS,499855905.4094613,13294835.0,,,,,Normal
2018,China,553856227.2191774,15344540.0,,,,,Normal
2018,Italy,141245141.96915978,2188267.0,,,,,Normal
2018,Nordic,219157406.00988036,3870413.0,,,,,Normal
2018,Rest Of the World,96557440.89390746,81836.0,,,,,Normal
2018,Latin America,99353342.87270457,1114934.0,,,,,Normal
2018,Japan,77032170.17753431,1315001.0,,,,,Normal
2018,South Korea,119719916.38343821,2395967.0,,,,,Normal
2018,Rest Of Europe,674252910.0915799,9043918.0,,,,,Normal
2019,Rest Of the World,55147782.773678824,1279075.0,96557440.89390746,81836.0,-42.89,1462.97,Anomaly
2019,Rest of Asia,55115038.99287822,625897.0,72505031.17278974,1348666.0,-23.98,-53.59,Normal
2019,China,430831546.46864426,14346306.0,553856227.2191774,15344540.0,-22.21,-6.51,Normal
2019,Rest Of Europe,532966060.91571546,7264329.0,674252910.0915799,9043918.0,-20.95,-19.68,Normal
2019,Latin America,123688688.39997587,2289988.0,99353342.87270457,1114934.0,24.49,105.39,Normal
2019,Russia & CIS,705980674.4842218,9039219.0,499855905.4094613,13294835.0,41.24,-32.01,Normal
2019,South Korea,212828227.63405874,7170271.0,119719916.38343821,2395967.0,77.77,199.26,Normal
2019,Italy,63036711.62013066,1279701.0,141245141.96915978,2188267.0,-55.37,-41.52,Normal
2019,Nordic,140898940.2385133,2903735.0,219157406.00988036,3870413.0,-35.71,-24.98,Normal
2019,Canada,157305135.79202408,4341406.0,136932389.48298538,4095387.0,14.88,6.01,Normal
2019,Japan,73170162.3650198,1227283.0,77032170.17753431,1315001.0,-5.01,-6.67,Normal
